股票代码,股票名称,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
600000,浦发银行,0.0,0.0,0.0,0.0,0.0,0.0
600001,邯郸钢铁,0.0,0.53,0.51,0.46,0.5,0.53
600002,齐鲁石化,1.09,1.13,0.67,0.63,0.22,0.34
600003,ST东北高,0.98,1.31,1.25,1.63,1.48,1.05
600004,白云机场,1.62,1.4,1.09,0.95,0.94,0.78
600005,武钢股份,0.27,0.23,0.25,0.26,0.24,0.25
600006,东风汽车,1.04,1.09,0.98,0.98,0.91,0.94
600007,中国国贸,0.88,0.69,0.95,0.78,0.85,0.74
600008,首创股份,1.0,0.95,0.87,0.78,0.79,0.78
600009,上海机场,8.71,6.46,7.67,4.12,8.4,6.61
600010,包钢股份,0.23,0.23,0.27,0.35,0.37,0.36
600011,XD华能国,0.29,0.28,0.3,0.34,0.32,0.31
600012,皖通高速,0.61,0.46,0.99,1.05,1.41,1.11
600015,华夏银行,0.0,0.0,0.0,0.0,0.0,0.0
600016,民生银行,0.0,0.0,0.0,0.0,0.0,0.0
600017,日照港,1.35,0.8,0.77,0.77,0.75,0.78
600018,上港集团,0.48,0.77,0.93,0.88,1.09,0.99
600019,宝钢股份,0.49,0.5,0.48,0.45,0.49,0.49
600020,中原高速,0.47,0.51,0.7,0.51,0.41,0.26
600021,上海电力,0.41,0.39,1.09,0.67,0.87,0.63
600022,山东钢铁,0.2,0.19,0.25,0.27,0.28,0.27
600023,浙能电力,0.77,0.66,0.65,0.0,0.71,0.6
600026,中海发展,0.39,0.37,0.61,0.67,0.79,0.87
600027,华电国际,0.28,0.22,0.24,0.22,0.25,0.24
600028,中国石化,0.28,0.26,0.28,0.29,0.29,0.26
600029,南方航空,0.39,0.38,0.42,0.33,0.33,0.32
600030,中信证券,0.0,0.0,0.0,0.0,0.0,0.0
600031,三一重工,1.52,1.64,1.24,1.14,1.38,1.29
600033,福建高速,0.47,0.39,0.34,0.34,0.37,0.34
600035,楚天高速,0.39,0.46,0.71,0.78,1.1,1.22
600036,招商银行,0.0,0.0,0.0,0.0,0.0,0.0
600037,歌华有线,3.56,3.4,3.26,2.95,3.17,3.0
600038,哈飞股份,0.39,0.44,0.2,0.2,0.29,0.44
600039,四川路桥,0.5,0.52,0.53,0.44,0.48,0.45
600048,保利地产,0.37,0.38,0.39,0.38,0.37,0.38
600050,中国联通,0.18,0.16,0.17,0.15,0.15,0.14
600051,宁波联合,0.19,0.19,0.29,0.29,0.26,0.31
600052,浙江广厦,0.15,0.14,0.29,0.29,0.4,0.3
600053,中江地产,0.1,0.11,0.18,0.23,0.16,0.1
600054,黄山旅游,0.23,0.32,0.31,0.29,0.26,0.29
600055,华润万东,1.06,1.24,1.1,1.09,1.06,1.18
600056,中国医药,1.03,0.88,0.89,1.18,1.18,1.14
600057,象屿股份,0.64,0.75,0.74,0.65,0.6,0.68
600058,五矿发展,0.64,0.7,0.67,0.66,0.6,0.63
600059,古越龙山,0.36,0.4,0.36,0.35,0.46,0.55
600060,海信电器,1.56,1.49,1.48,1.6,1.31,1.25
600061,中纺投资,0.58,0.53,0.6,0.48,0.5,0.6
600062,华润双鹤,4.06,3.22,1.78,1.67,1.77,1.85
600063,皖维高新,0.49,0.46,0.42,0.39,0.34,0.32
600064,南京高科,0.3,0.29,0.3,0.32,0.31,0.3
600065,*ST联谊,0.3,0.22,0.38,0.21,0.29,0.22
600066,宇通客车,1.58,1.48,1.32,1.39,1.47,1.37
600067,冠城大通,0.49,0.35,0.54,0.57,0.55,0.42
600068,葛洲坝,0.69,0.63,0.68,0.67,0.64,0.61
600069,银鸽投资,0.61,0.59,0.54,0.52,0.6,0.59
600070,浙江富润,0.83,0.85,1.11,1.01,0.89,0.9
600071,凤凰光学,1.25,1.95,2.11,2.56,2.04,1.91
600072,*ST钢构,0.68,0.79,0.73,0.78,1.06,1.19
600073,上海梅林,0.68,0.67,0.67,0.65,0.73,0.68
600074,中达股份,1.37,0.31,0.14,0.13,0.13,0.15
600075,*ST新业,0.32,0.31,0.37,0.29,0.34,0.29
600076,青鸟华光,0.2,0.35,0.32,0.33,0.34,0.38
600077,宋都股份,0.34,0.23,0.12,0.16,0.33,0.49
600078,澄星股份,0.42,0.39,0.4,0.45,0.58,0.63
600079,人福医药,1.24,1.28,1.36,1.21,1.14,1.18
600080,金花股份,1.84,1.82,1.72,1.53,1.64,1.54
600081,东风科技,0.89,0.81,0.89,0.84,0.87,0.84
600082,海泰发展,0.2,0.29,0.48,0.47,0.58,0.54
600083,博信股份,0.89,0.87,0.59,0.57,0.72,0.79
600084,中葡股份,0.39,0.44,0.29,0.24,0.27,0.34
600085,同仁堂,2.13,1.95,1.99,1.57,1.69,1.52
600086,东方金钰,0.21,0.14,0.23,0.21,0.18,0.1
600087,退市长油,0.2,0.23,0.63,0.71,0.8,0.85
600088,中视传媒,2.84,2.47,2.09,2.03,1.86,1.66
600089,特变电工,1.01,0.89,0.9,0.94,1.0,1.09
600090,啤酒花,0.9,0.72,0.93,0.85,0.63,0.35
600091,ST明科,0.11,0.13,0.18,0.11,0.12,0.15
600092,S*ST精密,0.04,0.04,0.04,0.04,0.04,0.04
600093,禾嘉股份,1.18,1.2,1.32,1.38,0.78,0.73
600094,大名城,0.45,0.45,0.68,0.83,0.63,0.52
600095,哈高科,0.65,0.57,0.56,0.6,0.65,0.84
600096,云天化,0.46,0.48,0.51,0.49,0.47,0.41
600097,开创国际,0.84,0.84,0.8,0.91,0.79,0.94
600098,广州发展,1.34,1.29,1.52,1.1,1.08,1.09
600099,林海股份,3.86,4.78,4.35,6.12,6.01,6.46
600100,同方股份,0.6,0.63,0.66,0.61,0.62,0.64
